,ref,lea name,site url,policy url,me policy url,mei url (if separate)
108,SB978-092,Cloverdale Police Department,https://web.archive.org/web/20230517020400/https://www.cloverdale.net/78/Police,https://web.archive.org/web/20210415043245/https://www.cloverdale.net/DocumentCenter/View/4285/Updated-Policy-manual?bidId=,https://web.archive.org/web/20220702025954/https://www.cloverdale.net/DocumentCenter/View/4960/2021-AB-481-CLOVERDALE-POLICE-MILITARY-EQUIPMENT-USE-POLICY-pdf,--No link for this in original dataset--
109,SB978-093,Clovis Police Department,https://web.archive.org/web/20200411064923/https://cityofclovis.com/police/,https://web.archive.org/web/20230719155008/https://cityofclovis.com/wp-content/uploads/2021/10/CPD-Policy-Manual-09152021.pdf,https://web.archive.org/web/20220429020857/https://cityofclovis.com/wp-content/uploads/2022/03/CPD-Policy-Manual-03302022.pdf,--No link for this in original dataset--
110,SB978-094,Clovis Unified School District Police Department,https://web.archive.org/web/20200512064219/https://www.cusd.com/PoliceServices.aspx,https://web.archive.org/web/20201102093313/https://www.cusd.com/Downloads/CUSD%20POLICY%20MANUAL.pdf,--No link for this in original dataset--,--No link for this in original dataset--
111,SB978-095,Coalinga Police Department,https://web.archive.org/web/20200806071726/http://www.coalinga.com/150/Police,https://web.archive.org/web/20200807153840/http://www.coalinga.com/DocumentCenter/View/89/10-02-2018-Release-Coalinga-Police-Department-Policy-Manual-PDF,--No link for this in original dataset--,--No link for this in original dataset--
112,SB978-096,Coast Community College District Police Department,https://web.archive.org/web/20030115123516/http://goldenwestcollege.edu/,https://web.archive.org/web/20201202163950/https://www.goldenwestcollege.edu/Links/pdf/RELEASE_20190924_T141046_Coast_Community_College_Police_Department_Protocol_Manual.pdf,--No link for this in original dataset--,--No link for this in original dataset--
113,SB978-098,Colma Police Department,https://web.archive.org/web/20191108193505/https://www.colma.ca.gov/departments/police/,,https://web.archive.org/web/20220326030112/https://storage.googleapis.com/proudcity/colmaca/uploads/2022/03/Colma-Police-Military-Equipment-Policy.pdf,--No link for this in original dataset--
114,SB978-099,Colton Police Department,https://web.archive.org/web/20020608072038/http://www.coltonpd.org/,https://web.archive.org/web/20200730171931/http://coltonpd.org/DocumentCenter/View/283/Colton-Police-Department-Policy-Manual-PDF,,--No link for this in original dataset--
115,SB978-100,Colusa County District Attorney,https://web.archive.org/web/20200702190529/http://countyofcolusa.org/357/District-Attorney,https://web.archive.org/web/20210417111602/https://countyofcolusa.org/DocumentCenter/View/13410/Colusa-County-Sheriffs-Office-Policy-Manual,,
116,SB978-101,Colusa County Sheriff's Department,https://web.archive.org/web/20200804202522/http://www.countyofcolusa.org/156/Sheriff,https://web.archive.org/web/20210417111602/https://countyofcolusa.org/DocumentCenter/View/13410/Colusa-County-Sheriffs-Office-Policy-Manual,,
117,SB978-102,Colusa Police Department,https://web.archive.org/web/20211230101803/https://cityofcolusa.com/police-department/,https://web.archive.org/web/20210417111602/https://countyofcolusa.org/DocumentCenter/View/13410/Colusa-County-Sheriffs-Office-Policy-Manual,,
118,SB978-105,Concord Police Department,https://web.archive.org/web/20190302223824/http://www.cityofconcord.org/183/Police,https://web.archive.org/web/20200125165850/http://www.cityofconcord.org/841/Department-Policy,https://web.archive.org/web/20220315121954/https://www.cityofconcord.org/DocumentCenter/View/7502/CPD-Draft-Policy-706---Military-Equipment?bidId=,--No link for this in original dataset--
119,SB978-107,Contra Costa Community College District Police Department,https://web.archive.org/web/20200726200621/http://www.4cd.edu/pd/index.html,https://web.archive.org/web/20210415041431/https://www.4cd.edu/pd/docs/contra-costa-community-college-pd-manual.pdf,https://web.archive.org/web/20210415041431/https://www.4cd.edu/pd/docs/contra-costa-community-college-pd-manual.pdf,--No link for this in original dataset--
120,SB978-108,Contra Costa County District Attorney,https://web.archive.org/web/20190730230211/http://www.contracosta.ca.gov/7284/District-Attorney,https://web.archive.org/web/20201031094531/https://www.contracosta.ca.gov/DocumentCenter/View/67484/CCCDAO-Policy-Manual-PDF?bidId=,,
121,SB978-109,Contra Costa County Sheriff's Department/Coroner,https://web.archive.org/web/19981212023901/http://www.cocosheriff.org/,https://web.archive.org/web/20230719155027/https://www.cocosheriff.org/home/showpublisheddocument/442/637873667474700611,https://web.archive.org/web/20230719155027/https://www.cocosheriff.org/home/showpublisheddocument/442/637873667474700611,--No link for this in original dataset--
122,SB978-110,Corcoran Police Department,https://web.archive.org/web/20210125031118/http://cityofcorcoran.com/departments/police/index.php,,,--No link for this in original dataset--
123,SB978-112,Corona Police Department,https://web.archive.org/web/20170804170450/https://www.coronaca.gov/government/departments/police-department,https://web.archive.org/web/20230719150539/https://www.coronaca.gov/home/showpublisheddocument/17388/637496635842370000,,
124,SB978-113,Coronado Police Department,https://web.archive.org/web/20220518092541/https://www.coronado.ca.us/166/Police,https://web.archive.org/web/20220519015454/https://www.coronado.ca.us/DocumentCenter/View/1164/Policy-Manual-PDF,https://web.archive.org/web/20221201225849/https://www.coronado.ca.us/DocumentCenter/View/1166/AB-481-PDF,--No link for this in original dataset--
