,ref,lea name,url
229,SB978-243,Irvine Police Department,https://web.archive.org/web/20010720061025/http://www.cityofirvine.org/
230,SB978-245,Irwindale Police Department,https://web.archive.org/web/20160901003226/http://www.irwindaleca.gov/
231,SB978-246,Jackson Police Department,https://web.archive.org/web/19991129022621/http://ci.jackson.ca.us/
232,SB978-247,Kensington Police Department,https://web.archive.org/web/20180612210601/https://www.kppcsd.org/
233,SB978-248,Kerman Police Department,https://web.archive.org/web/20070726221810/http://www.cityofkerman.net/
234,SB978-251,Kern County Sheriff's Department,https://web.archive.org/web/20110725020034/http://kernsheriff.org/
235,SB978-253,King City Police Department,https://web.archive.org/web/19980115152019/http://kingcity.com/
236,SB978-256,Kings County Sheriff's Department,https://web.archive.org/web/19981205203320/http://www.countyofkings.com/
237,SB978-257,Kingsburg Police Department,https://web.archive.org/web/20060526221955/http://www.cityofkingsburg-ca.gov/
238,SB978-258,La Habra Police Department,https://web.archive.org/web/20001018042157/http://lahabracity.com/
239,SB978-259,La Mesa Police Department,https://web.archive.org/web/20040102031441/http://cityoflamesa.us/
240,SB978-260,La Palma Police Department,https://web.archive.org/web/20001204164700/http://www.cityoflapalma.org/
241,SB978-261,La Verne Police Department,https://web.archive.org/web/20021129100933/http://lvpd.org/
242,SB978-262,Laguna Beach Police Department,https://web.archive.org/web/20020726131401/http://www.lagunabeachcity.net/
243,SB978-264,Lake County Sheriff's Department,https://web.archive.org/web/20010428024751/http://www.lakesheriff.com/
244,SB978-266,Lakeport Police Department,https://web.archive.org/web/20061229073401/http://www.cityoflakeport.com/
245,SB978-268,Lassen County Sheriff's Department,https://web.archive.org/web/20001204182100/http://www.lassencounty.org/
246,SB978-269,Lemoore Police Department,https://web.archive.org/web/19980208200129/http://www.lemoore.com/
247,SB978-270,Lincoln Police Department,https://web.archive.org/web/20150705204300/http://www.lincolnca.gov/
248,SB978-271,Lindsay Department of Public Safety,https://web.archive.org/web/19981206200918/http://www.lindsay.ca.us/
249,SB978-272,Livermore Police Department,https://web.archive.org/web/20220519033728/https://www.livermoreca.gov/
250,SB978-273,Livingston Police Department,https://web.archive.org/web/20090703071315/http://livingston.govoffice2.com/
251,SB978-274,Lodi Police Department,https://web.archive.org/web/19961109164436/http://www.lodi.gov/
252,SB978-275,Lompoc Police Department,https://web.archive.org/web/20010330211654/http://www.cityoflompoc.com/
253,SB978-276,Long Beach Police Department,
254,SB978-278,Los Alamitos Police Department,https://web.archive.org/web/20110627051913/http://cityoflosalamitos.org/
255,SB978-279,Los Altos Police Department,https://web.archive.org/web/20090511155409/http://www.losaltosca.gov/
256,SB978-280,Los Angeles City Department of Recreation and Parks,https://web.archive.org/web/20000823104329/http://www.laparks.org/
257,SB978-281,Los Angeles County District Attorney,https://web.archive.org/web/20070626042855/http://da.lacounty.gov/
258,SB978-282,Los Angeles County Probation Department,https://web.archive.org/web/20071018114130/http://probation.lacounty.gov/
259,SB978-283,Los Angeles County Sheriff's Department,
260,SB978-284,Los Angeles Police Department,https://web.archive.org/web/19981202190615/http://www.lapdonline.org/
261,SB978-285,Los Angeles Port Police Department,https://web.archive.org/web/20211124004947/https://www.portoflosangeles.org/community/los-angeles-port-police
262,SB978-287,Los Angeles School Police Department,https://web.archive.org/web/20160404060722/http://achieve.lausd.net/
263,SB978-289,Los Angeles World Airports Police Department,https://web.archive.org/web/19981203085344/http://www.lawa.org/
264,SB978-290,Los Banos Police Department,https://web.archive.org/web/19981206120724/http://www.losbanos.org/
265,SB978-291,Los Gatos/Monte Sereno Police Department,https://web.archive.org/web/20040123095746/http://www.losgatosca.gov/
266,SB978-292,Los Rios Community College District Police Department,https://web.archive.org/web/20110504130710/http://police.losrios.edu/
267,SB978-295,Madera County Sheriff's Department,https://web.archive.org/web/20001019062947/http://www.maderacounty.com/
268,SB978-296,Madera Police Department,https://web.archive.org/web/20190324022825/https://www.madera.gov/
269,SB978-297,Mammoth Lakes Police Department,https://web.archive.org/web/20140427000350/http://www.townofmammothlakes.ca.gov/
270,SB978-298,Manhattan Beach Police Department,https://web.archive.org/web/20020207223041/http://www.citymb.info/
271,SB978-299,Manteca Police Department,https://web.archive.org/web/19981111183557/http://ci.manteca.ca.us/
272,SB978-300,Marin Community College District Police Department,https://web.archive.org/web/20170215214444/http://police.marin.edu/
273,SB978-303,Marin County Sheriff's Department,https://web.archive.org/web/20010413222732/http://www.marinsheriff.org/
